site,city,hd_1000
WIDE-A03-MRP1,WIDE,962.0536934
WIDE-A06-SMP1,WIDE,1479.543681
WIDE-A02-ASP1,WIDE,270.6870703
WIDE-A05-FZS1,WIDE,15.60431346
WIDE-A07-BKP1,WIDE,759.1976183
WIDE-A01-JSC1,WIDE,59.23270009
WIDE-A08-GLP1,WIDE,962.6906041
WIDE-A06-LMR1,WIDE,704.7417489
WIDE-A08-SSL2,WIDE,150.3109379
WIDE-A03-SLP1,WIDE,1185.290913
WIDE-A08-SMB1,WIDE,629.9047354
WIDE-A01-MAR1,WIDE,37.25927909
WIDE-A03-WBC1,WIDE,2742.21925
WIDE-A03-RVC1,WIDE,2159.127455
WIDE-A01-PLO1,WIDE,71.65245978
WIDE-A05-CMP1,WIDE,523.8590949
WIDE-A07-RPL1,WIDE,1061.730226
WIDE-A04-DEC1,WIDE,99.67653295
WIDE-A06-LGP1,WIDE,758.2422522
WIDE-A01-WIN1,WIDE,46.17602964
WIDE-A05-CWP1,WIDE,599.0145638
WIDE-A01-FLW1,WIDE,127.0636954
WIDE-A02-LMC1,WIDE,264.3179628
WIDE-A04-CBP1,WIDE,1593.23225
WIDE-A06-BRG1,WIDE,1284.012079
WIDE-A07-SSL1,WIDE,114.6439357
WIDE-A04-RPW1,WIDE,407.304427
WIDE-A04-BNP1,WIDE,751.8731447
